City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
131,veraval,4,ID,1602724153,51,-7.73,114.1,88.23,2.84
132,ribeira grande,75,CA,1602724153,81,50.32,-122.8,46.4,2.64
133,kizlyar,90,CN,1602724154,64,23.46,116.77,75.2,4.47
134,samusu,100,PG,1602724154,71,-4.06,144.07,84.88,2.48
135,qaanaaq,100,GB,1602724154,81,60.4,-1.35,46.4,8.05
136,alofi,100,RU,1602724154,95,64.9,45.76,31.71,7.18
137,east london,0,NZ,1602724154,52,-46.6,168.33,54,8.01
138,fortuna,20,CA,1602724154,58,58.52,-117.14,28.4,12.75
139,ancud,1,US,1602724154,15,41,-115.5,69.8,14.99
140,bereda,0,ET,1602724155,34,10.17,40.65,82.15,3.15
141,illoqqortoormiut,75,JP,1602724155,88,35.13,140.3,64.4,9.17
142,columbus,72,CN,1602724155,59,42.24,125.72,42.58,8.95
143,aykhal,16,RU,1602724155,66,50.68,156.12,46.22,26.06
144,ilulissat,0,PE,1602724155,77,-5.56,-80.82,66.47,14.16
145,panji,0,BR,1602724155,43,-11.64,-42.01,74.07,6.02
146,pemberton,100,BR,1602724155,89,-6.22,-57.75,72.68,0.36
147,chenghai,61,CA,1602724155,89,54.77,-101.86,26.87,8.25
148,angoram,100,RU,1602724156,98,70.63,147.92,20.97,2.15
149,tumannyy,0,AU,1602724156,60,-28.65,153.62,77,12.75
150,brae,90,VU,1602724156,83,-19.55,169.27,82.4,5.82
151,leshukonskoye,35,TC,1602724156,78,21.46,-71.14,83.55,12.1
152,bluff,94,CN,1602724156,71,22.88,116.07,75.4,26.31
153,high level,100,RU,1602724156,9,55.14,37.47,53.01,4.76
154,elko,100,MX,1602724156,41,27.98,-114.06,81.3,7.45
155,gewane,100,PH,1602724156,78,11,122.67,82.8,5.23
156,katsuura,1,US,1602724157,28,43.13,-115.69,57.2,20.8
157,liuhe,40,AU,1602724157,65,-21.15,149.2,78.01,19.46
158,severo-kurilsk,20,BR,1602724157,78,-6.09,-35.21,78.8,8.05
